Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-06-12,8.75,9600,-0.6(-5.88 %),1390,14000000,0,0,10750,10750,9600
2018-06-13,9.3,10200,0.6(6.25 %),100,1000000,0,0,10200,10200,10200
2018-06-14,9.3,10200,0(0.00 %),40,0,0,0,10500,10500,10200
2018-06-15,8.66,9500,-0.7(-6.86 %),230,2000000,0,0,10000,10000,9500
2018-06-18,8.21,9000,-0.5(-5.26 %),210,2000000,0,0,9500,9500,9000
2018-06-19,7.75,8500,-0.5(-5.56 %),500,4000000,0,0,8810,8810,8500
2018-06-20,8.21,9000,0.5(5.88 %),390,4000000,0,0,8500,9050,8500
2018-06-21,8.3,9100,0.1(1.11 %),350,3000000,0,0,9600,9600,9100
2018-06-22,8.3,9100,0(0.00 %),30,0,0,0,9100,9100,9100
2018-06-25,8.3,9100,0(0.00 %),410,4000000,0,0,9140,9140,9100
2018-06-26,8.3,9100,0(0.00 %),4440,39000000,0,0,8500,9100,8500
2018-06-27,8.85,9700,0.6(6.59 %),80,1000000,0,0,8890,9700,8890
2018-06-28,8.23,9030,-0.67(-6.91 %),380,3000000,0,0,9030,10000,9030
2018-06-29,7.75,8500,-0.53(-5.87 %),20,0,0,0,8500,8500,8500
2018-07-02,8.21,9000,0.5(5.88 %),720,6000000,0,0,9000,9000,7910
2018-07-03,8.66,9500,0.5(5.56 %),190,2000000,0,0,9000,9500,8800
2018-07-04,8.12,8900,-0.6(-6.32 %),750,7000000,0,0,8840,9000,8840
2018-07-05,8.57,9400,0.5(5.62 %),250,2000000,0,0,8500,9400,8500
2018-07-06,8.57,9400,0(0.00 %),90,1000000,0,0,9400,9400,9400
2018-07-09,9.12,10000,0.6(6.38 %),20,0,0,0,10000,10000,10000
2018-07-10,9.12,10000,0(0.00 %),0,0,0,0,10000,10000,10000
2018-07-11,9.12,10000,0(0.00 %),0,0,0,0,10000,10000,10000
